NK_Codetable_Culture                 NK_Codetable_Culture_AdditionalText  NK_Codetable_Parent_Culture          NK_Culture                           NK_Indication
02BF379A-E526-422A-952B-3B0CD995F8C1 NULL                                 5DF3AB4D-7CAC-4112-90D9-67BD80EC5E96 8FAFAC73-3A08-4542-957C-4F64B57C377D F4658473-1280-4B59-8B51-561BD1CF6817
037E11B2-128A-4194-9A5B-A3E980AE4113 NULL                                 5AC11C43-B41E-4823-8515-E991D4EA1B3C 119C8B2D-3C51-4736-8B9B-1B016B1D2456 01A839C6-061B-42F9-8F1E-BF36EBB25734
037E11B2-128A-4194-9A5B-A3E980AE4113 NULL                                 5AC11C43-B41E-4823-8515-E991D4EA1B3C 119C8B2D-3C51-4736-8B9B-1B016B1D2456 029457E2-5B1A-4498-919F-44DE26D88E13
037E11B2-128A-4194-9A5B-A3E980AE4113 NULL                                 5AC11C43-B41E-4823-8515-E991D4EA1B3C 119C8B2D-3C51-4736-8B9B-1B016B1D2456 0392CC36-7FA9-4114-B8C7-FAF79EF839BA
037E11B2-128A-4194-9A5B-A3E980AE4113 NULL                                 5AC11C43-B41E-4823-8515-E991D4EA1B3C 119C8B2D-3C51-4736-8B9B-1B016B1D2456 043A1FFD-8988-424A-A121-C7A944AB0C54
037E11B2-128A-4194-9A5B-A3E980AE4113 NULL                                 5AC11C43-B41E-4823-8515-E991D4EA1B3C 119C8B2D-3C51-4736-8B9B-1B016B1D2456 094DF840-26F7-4F77-95F2-EC72B4C6FAE1
037E11B2-128A-4194-9A5B-A3E980AE4113 NULL                                 5AC11C43-B41E-4823-8515-E991D4EA1B3C 119C8B2D-3C51-4736-8B9B-1B016B1D2456 0CD3C056-789E-418F-8AB5-E6E759589E88
037E11B2-128A-4194-9A5B-A3E980AE4113 NULL                                 5AC11C43-B41E-4823-8515-E991D4EA1B3C 119C8B2D-3C51-4736-8B9B-1B016B1D2456 0D0F0E42-6BC4-43C4-BBB0-2A4085FA7B37
037E11B2-128A-4194-9A5B-A3E980AE4113 NULL                                 5AC11C43-B41E-4823-8515-E991D4EA1B3C 119C8B2D-3C51-4736-8B9B-1B016B1D2456 1232A4BA-366A-4CC2-9A1C-209154E97638
037E11B2-128A-4194-9A5B-A3E980AE4113 NULL                                 5AC11C43-B41E-4823-8515-E991D4EA1B3C 119C8B2D-3C51-4736-8B9B-1B016B1D2456 16F2993A-2337-4F66-AE0B-AD76D8204692
037E11B2-128A-4194-9A5B-A3E980AE4113 NULL                                 5AC11C43-B41E-4823-8515-E991D4EA1B3C 119C8B2D-3C51-4736-8B9B-1B016B1D2456 1BC00735-6960-4188-A68B-4FA65BDE010C
037E11B2-128A-4194-9A5B-A3E980AE4113 NULL                                 5AC11C43-B41E-4823-8515-E991D4EA1B3C 119C8B2D-3C51-4736-8B9B-1B016B1D2456 2258C576-10BB-4396-BF0D-5A387A373FB7
037E11B2-128A-4194-9A5B-A3E980AE4113 NULL                                 5AC11C43-B41E-4823-8515-E991D4EA1B3C 119C8B2D-3C51-4736-8B9B-1B016B1D2456 2A6AD938-A4C4-415D-84F5-2206FC14438E
037E11B2-128A-4194-9A5B-A3E980AE4113 NULL                                 5AC11C43-B41E-4823-8515-E991D4EA1B3C 119C8B2D-3C51-4736-8B9B-1B016B1D2456 2BB8A31B-371B-4EF8-BC23-DB56C435DDFA
037E11B2-128A-4194-9A5B-A3E980AE4113 NULL                                 5AC11C43-B41E-4823-8515-E991D4EA1B3C 119C8B2D-3C51-4736-8B9B-1B016B1D2456 2C188D18-CDA5-46F1-8BD1-69473C45F1C9
037E11B2-128A-4194-9A5B-A3E980AE4113 NULL                                 5AC11C43-B41E-4823-8515-E991D4EA1B3C 119C8B2D-3C51-4736-8B9B-1B016B1D2456 2E43337D-474C-4DA3-B5D7-068DC002D0B8
037E11B2-128A-4194-9A5B-A3E980AE4113 NULL                                 5AC11C43-B41E-4823-8515-E991D4EA1B3C 119C8B2D-3C51-4736-8B9B-1B016B1D2456 2FF48374-BC92-41E3-91AC-D98E7CFC25B8
037E11B2-128A-4194-9A5B-A3E980AE4113 NULL                                 5AC11C43-B41E-4823-8515-E991D4EA1B3C 119C8B2D-3C51-4736-8B9B-1B016B1D2456 354FAEA5-99B3-488E-A6E1-8797BC35ED2F
037E11B2-128A-4194-9A5B-A3E980AE4113 NULL                                 5AC11C43-B41E-4823-8515-E991D4EA1B3C 119C8B2D-3C51-4736-8B9B-1B016B1D2456 36C6FF38-67DD-47C1-920F-5B5920D4543A
037E11B2-128A-4194-9A5B-A3E980AE4113 NULL                                 5AC11C43-B41E-4823-8515-E991D4EA1B3C 119C8B2D-3C51-4736-8B9B-1B016B1D2456 387B2821-E584-45D0-9636-485513D298C5
037E11B2-128A-4194-9A5B-A3E980AE4113 NULL                                 5AC11C43-B41E-4823-8515-E991D4EA1B3C 119C8B2D-3C51-4736-8B9B-1B016B1D2456 3995360D-2DCB-4059-9308-DA81E0620A1A
037E11B2-128A-4194-9A5B-A3E980AE4113 NULL                                 5AC11C43-B41E-4823-8515-E991D4EA1B3C 119C8B2D-3C51-4736-8B9B-1B016B1D2456 41A30F9A-EEA6-47EE-A389-63B35C1C4778
037E11B2-128A-4194-9A5B-A3E980AE4113 NULL                                 5AC11C43-B41E-4823-8515-E991D4EA1B3C 119C8B2D-3C51-4736-8B9B-1B016B1D2456 480F7ED3-B403-47E0-9A8E-BE46533BC309
037E11B2-128A-4194-9A5B-A3E980AE4113 NULL                                 5AC11C43-B41E-4823-8515-E991D4EA1B3C 119C8B2D-3C51-4736-8B9B-1B016B1D2456 48683621-F0AF-4EB9-8EC1-B1B27FA37C7F
037E11B2-128A-4194-9A5B-A3E980AE4113 NULL                                 5AC11C43-B41E-4823-8515-E991D4EA1B3C 119C8B2D-3C51-4736-8B9B-1B016B1D2456 48FD827B-E787-4465-9160-55EDE76FA741
037E11B2-128A-4194-9A5B-A3E980AE4113 NULL                                 5AC11C43-B41E-4823-8515-E991D4EA1B3C 119C8B2D-3C51-4736-8B9B-1B016B1D2456 49BB7A2B-6E16-40CD-94D8-AA2601DBAD08
037E11B2-128A-4194-9A5B-A3E980AE4113 NULL                                 5AC11C43-B41E-4823-8515-E991D4EA1B3C 119C8B2D-3C51-4736-8B9B-1B016B1D2456 4A58A191-C146-4716-BF92-56F9A08F800A
037E11B2-128A-4194-9A5B-A3E980AE4113 NULL                                 5AC11C43-B41E-4823-8515-E991D4EA1B3C 119C8B2D-3C51-4736-8B9B-1B016B1D2456 4DFCB07F-BA75-431A-BBAE-6C3328A6F933
037E11B2-128A-4194-9A5B-A3E980AE4113 NULL                                 5AC11C43-B41E-4823-8515-E991D4EA1B3C 119C8B2D-3C51-4736-8B9B-1B016B1D2456 4F122BC4-32A6-4CA0-B092-E27D62A7E113
037E11B2-128A-4194-9A5B-A3E980AE4113 NULL                                 5AC11C43-B41E-4823-8515-E991D4EA1B3C 119C8B2D-3C51-4736-8B9B-1B016B1D2456 555A51C1-7AEA-43AF-80CB-7379F8331906
037E11B2-128A-4194-9A5B-A3E980AE4113 NULL                                 5AC11C43-B41E-4823-8515-E991D4EA1B3C 119C8B2D-3C51-4736-8B9B-1B016B1D2456 5889266F-C788-450D-B562-F02DB26E679F
